Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks,Classifier Output
13685,796340,2.351570,12233.048570,12233.048570,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796341,2.395138,12233.092138,12233.092138,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796342,2.403341,12233.100341,12233.100341,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796343,2.438062,12233.135062,12233.135062,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796344,2.445807,12233.142807,12233.142807,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796345,2.482737,12233.179737,12233.179737,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796346,2.500551,12233.197551,12233.197551,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796347,2.507150,12233.204150,12233.204150,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796348,2.511162,12233.208162,12233.208162,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796349,2.525211,12233.222211,12233.222211,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796350,2.544739,12233.241739,12233.241739,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796351,2.607354,12233.304354,12233.304354,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796352,2.612611,12233.309611,12233.309611,1, 0, 0, 1,87.125489,-46.731559,-330.676591,2,2,-0.142423
13685,796353,2.629009,12233.326009,12233.326009,0, 0, 0, 0,-9999999.000000,-9999999.000000,-9999999.000000,0,3,-99.000000
13685,796354,2.634066,12233.331066,12233.331066,1, 0, 0, 1,23.776854,-9.300174,-528.325486,2,2,-0.149071
13685,796355,2.637625,12233.334625,12233.334625,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796356,2.659590,12233.356590,12233.356590,1, 0, 0, 1,-39.915556,9.336039,-517.737503,2,2,-0.118039
13685,796357,2.681263,12233.378263,12233.378263,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796358,2.686079,12233.383079,12233.383079,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796359,2.694433,12233.391433,12233.391433,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796360,2.698467,12233.395467,12233.395467,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796361,2.702091,12233.399091,12233.399091,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,2,-99.000000
13685,796362,2.733426,12233.430426,12233.430426,1, 1, 0, 1,3.111613,18.251916,-296.277567,2,2,0.070330
13685,796363,2.771164,12233.468164,12233.468164,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
13685,796364,2.785970,12233.482970,12233.482970,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,0,-99.000000
13685,796365,2.793701,12233.490701,12233.490701,0, 0, 0, -2,-9999999.000000,-9999999.000000,-9999999.000000,0,1,-99.000000
